sub0,sub1,sub2,sub3,sub4,sub5,sub6,sub7,Indicator,Source,Time,Value,Unit,Details
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1984,181.09,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1985,184.47,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1986,166.42,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1987,166.14,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1988,156.03,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1989,165.60,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1990,188.11,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1991,212.03,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1992,219.03,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1993,215.80,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1994,212.14,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1995,217.23,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1996,231.03,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1997,234.15,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1998,239.02,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1999,243.80,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2000,258.06,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2001,264.23,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2002,285.58,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2003,310.25,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2004,323.70,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2005,334.03,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2006,350.73,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2007,379.33,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2008,380.29,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2009,384.12,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2010,406.39,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2011,417.14,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2012,401.51,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2013,395.40,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2014,415.11,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2015,409.19,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2016,445.26,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2017,457.54,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2018,449.14,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2019,435.34,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2020,449.84,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2021,471.07,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2022,488.86,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2023,513.53,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,2024,529.14,Billion 2015 US$ ,Base Year 2015
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,1990,423.63,Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,1991,493.65,Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,1992,521.55,Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,1993,526.06,Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,1994,528.16,Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,1995,552.19,Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,1996,598.00,Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,1997,616.53,Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,1998,636.43,Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,1999,658.36,Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2000,712.63,Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2001,746.11,Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2002,818.91,Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2003,907.23,Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2004,972.03,Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2005,"1,034.48",Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2006,"1,119.70",Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2007,"1,243.83",Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2008,"1,270.97",Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2009,"1,291.70",Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2010,"1,383.20",Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2011,"1,449.08",Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2012,"1,295.74",Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2013,"1,250.61",Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2014,"1,255.79",Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2015,"1,131.04",Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2016,"1,221.42",Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2017,"1,281.38",Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2018,"1,277.95",Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2019,"1,162.00",Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2020,"1,237.81",Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2021,"1,322.58",Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2022,"1,470.38",Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2023,"1,600.14",Billion international $,
GDP,GDP,PPP,,,World Bank,,$,GDP PPP  ,World Bank,2024,"1,688.65",Billion international $,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1980,116.98,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1981,123.85,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1982,153.53,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1983,191.52,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1984,197.37,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1985,220.34,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1986,254.99,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1987,338.09,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1988,380.70,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1989,463.07,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1990,709.09,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1991,371.10,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1992,61.60,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1993,78.66,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1994,97.42,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1995,140.28,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1996,192.87,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1997,224.73,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1998,250.19,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,1999,335.74,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2000,447.81,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2001,403.94,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2002,161.93,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2003,193.34,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2004,230.62,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2005,276.38,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2006,326.45,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2007,430.47,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2008,498.71,Billion US$,
GDP,GDP,nominal,current price,,IMF,,$,GDP nominal current price ,IMF,2009,509.10,Billion US$,
